IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.186.166,4,4,0.00,164.82,0.00
104.18.71.246,4,4,0.00,164.90,0.00
104.19.29.91,4,4,0.00,165.15,0.00
104.18.40.66,4,4,0.00,165.17,0.00
104.19.189.245,4,4,0.00,165.23,0.00
104.16.244.152,4,4,0.00,165.47,0.00
104.18.12.162,4,4,0.00,165.67,0.00
104.19.15.73,4,4,0.00,165.84,0.00
104.16.252.102,4,4,0.00,165.89,0.00
104.19.30.208,4,4,0.00,165.93,0.00
104.17.217.251,4,4,0.00,165.96,0.00
104.19.17.75,4,4,0.00,165.99,0.00
104.16.0.70,4,4,0.00,166.07,0.00
104.18.56.239,4,4,0.00,166.30,0.00
104.17.90.157,4,4,0.00,166.45,0.00
104.18.235.217,4,4,0.00,166.56,0.00
104.18.16.215,4,4,0.00,166.64,0.00
104.19.205.41,4,4,0.00,167.56,0.00
104.17.144.179,4,4,0.00,167.84,0.00
104.19.52.147,4,4,0.00,168.34,0.00
104.16.242.221,4,4,0.00,168.40,0.00
104.19.188.94,4,4,0.00,168.43,0.00
104.18.89.83,4,4,0.00,168.45,0.00
104.17.218.251,4,4,0.00,168.46,0.00
104.16.224.70,4,4,0.00,168.73,0.00
104.17.224.91,4,4,0.00,168.86,0.00
104.16.233.5,4,4,0.00,169.31,0.00
104.19.193.143,4,4,0.00,169.77,0.00
104.19.165.196,4,4,0.00,169.93,0.00
104.18.69.195,4,4,0.00,170.22,0.00
104.18.86.142,4,4,0.00,170.35,0.00
104.17.23.158,4,4,0.00,170.53,0.00
104.17.172.147,4,4,0.00,171.03,0.00
104.21.233.237,4,4,0.00,171.03,0.00
104.19.206.192,4,4,0.00,171.44,0.00
104.19.48.163,4,4,0.00,171.66,0.00
104.18.185.197,4,4,0.00,171.78,0.00
104.17.221.89,4,4,0.00,172.96,0.00
104.16.53.177,4,4,0.00,173.26,0.00
104.16.189.218,4,4,0.00,173.32,0.00
104.17.220.122,4,4,0.00,173.33,0.00
104.17.104.237,4,4,0.00,173.34,0.00
104.18.219.186,4,4,0.00,173.40,0.00
104.17.102.31,4,4,0.00,173.54,0.00
104.16.229.16,4,4,0.00,173.62,0.00
104.16.200.143,4,4,0.00,173.67,0.00
104.22.21.226,4,4,0.00,174.15,0.00
104.19.187.211,4,4,0.00,174.22,0.00
104.19.103.86,4,4,0.00,174.23,0.00
104.17.17.214,4,4,0.00,174.28,0.00
104.16.65.76,4,4,0.00,174.41,0.00
104.16.123.230,4,4,0.00,174.41,0.00
104.19.18.55,4,4,0.00,174.96,0.00
104.16.250.5,4,4,0.00,175.07,0.00
104.16.2.63,4,4,0.00,175.14,0.00
104.18.204.6,4,4,0.00,175.82,0.00
104.16.119.167,4,4,0.00,175.99,0.00
104.16.141.57,4,4,0.00,176.25,0.00
104.18.77.64,4,4,0.00,176.30,0.00
104.17.146.141,4,4,0.00,176.52,0.00
104.16.237.92,4,4,0.00,176.70,0.00
104.16.3.94,4,4,0.00,176.75,0.00
104.19.222.47,4,4,0.00,177.01,0.00
104.16.251.15,4,4,0.00,177.01,0.00
104.16.173.175,4,4,0.00,177.29,0.00
104.16.243.43,4,4,0.00,177.66,0.00
104.18.92.71,4,4,0.00,178.85,0.00
104.18.80.186,4,4,0.00,178.90,0.00
104.17.99.172,4,4,0.00,179.00,0.00
104.17.94.198,4,4,0.00,179.45,0.00
104.16.186.118,4,4,0.00,179.56,0.00
104.18.70.166,4,4,0.00,179.75,0.00
104.16.207.156,4,4,0.00,179.76,0.00
104.19.25.53,4,4,0.00,179.85,0.00
104.18.79.138,4,4,0.00,179.95,0.00
104.17.92.2,4,4,0.00,180.65,0.00
104.18.159.7,4,4,0.00,182.43,0.00
104.19.26.181,4,4,0.00,182.73,0.00
104.19.78.162,4,4,0.00,182.90,0.00
104.18.96.219,4,4,0.00,183.02,0.00
104.17.86.230,4,4,0.00,183.11,0.00
104.16.195.36,4,4,0.00,183.25,0.00
104.22.48.244,4,4,0.00,184.31,0.00
104.16.51.34,4,4,0.00,187.70,0.00
104.16.145.33,4,4,0.00,187.80,0.00
104.16.61.202,4,4,0.00,187.83,0.00
104.16.136.185,4,4,0.00,192.20,0.00
104.16.115.205,4,4,0.00,193.28,0.00
104.16.6.199,4,4,0.00,194.29,0.00
104.21.127.234,4,4,0.00,194.68,0.00
104.16.183.137,4,4,0.00,195.08,0.00
104.16.101.43,4,4,0.00,200.12,0.00
104.21.35.26,4,4,0.00,200.46,0.00
104.21.120.41,4,4,0.00,200.81,0.00
104.21.87.83,4,4,0.00,200.86,0.00
104.16.10.110,4,4,0.00,201.35,0.00
104.16.109.70,4,4,0.00,201.39,0.00
104.21.12.110,4,4,0.00,201.50,0.00
104.21.42.95,4,4,0.00,201.51,0.00
104.21.54.188,4,4,0.00,202.73,0.00
104.21.1.250,4,4,0.00,203.29,0.00
104.16.80.48,4,4,0.00,203.44,0.00
104.21.116.147,4,4,0.00,203.99,0.00
104.21.38.85,4,4,0.00,204.50,0.00
104.21.99.0,4,4,0.00,204.67,0.00
104.21.36.14,4,4,0.00,204.74,0.00
104.16.135.17,4,4,0.00,204.80,0.00
104.21.111.191,4,4,0.00,205.03,0.00
104.21.20.180,4,4,0.00,205.26,0.00
104.21.125.238,4,4,0.00,205.50,0.00
104.21.33.108,4,4,0.00,205.65,0.00
104.21.105.89,4,4,0.00,205.73,0.00
104.16.155.135,4,4,0.00,206.15,0.00
104.21.66.73,4,4,0.00,206.20,0.00
104.16.144.239,4,4,0.00,206.28,0.00
104.21.34.212,4,4,0.00,206.37,0.00
104.21.31.130,4,4,0.00,206.43,0.00
104.21.16.0,4,4,0.00,206.58,0.00
104.16.64.214,4,4,0.00,206.84,0.00
104.21.124.164,4,4,0.00,207.58,0.00
104.21.32.129,4,4,0.00,207.81,0.00
104.21.50.204,4,4,0.00,208.16,0.00
104.21.51.70,4,4,0.00,208.21,0.00
104.21.48.154,4,4,0.00,208.79,0.00
104.21.202.54,4,4,0.00,209.57,0.00
104.21.14.135,4,4,0.00,210.05,0.00
104.21.52.0,4,4,0.00,210.34,0.00
104.21.55.78,4,4,0.00,210.75,0.00
104.16.130.68,4,4,0.00,211.44,0.00
104.21.197.185,4,4,0.00,211.45,0.00
104.21.53.225,4,4,0.00,211.74,0.00
104.21.121.238,4,4,0.00,211.94,0.00
104.21.92.237,4,4,0.00,211.98,0.00
104.16.129.32,4,4,0.00,212.05,0.00
104.21.5.89,4,4,0.00,212.66,0.00
104.21.62.49,4,4,0.00,213.12,0.00
104.21.118.209,4,4,0.00,213.48,0.00
104.21.56.112,4,4,0.00,213.54,0.00
104.21.193.97,4,4,0.00,213.94,0.00
104.20.105.93,4,4,0.00,213.95,0.00
104.22.9.54,4,4,0.00,214.44,0.00
104.21.30.138,4,4,0.00,214.71,0.00
104.21.27.58,4,4,0.00,214.80,0.00
104.21.68.204,4,4,0.00,215.61,0.00
104.27.93.147,4,4,0.00,215.72,0.00
104.21.98.125,4,4,0.00,215.89,0.00
104.21.47.153,4,4,0.00,216.04,0.00
104.24.67.161,4,4,0.00,216.19,0.00
104.21.17.172,4,4,0.00,216.94,0.00
104.21.203.254,4,4,0.00,216.96,0.00
104.20.81.155,4,4,0.00,217.38,0.00
104.20.59.110,4,4,0.00,217.50,0.00
104.21.67.252,4,4,0.00,217.81,0.00
104.24.34.133,4,4,0.00,217.97,0.00
104.27.89.1,4,4,0.00,217.99,0.00
104.24.87.134,4,4,0.00,218.22,0.00
104.20.198.195,4,4,0.00,218.27,0.00
104.20.120.68,4,4,0.00,218.38,0.00
104.24.88.13,4,4,0.00,218.64,0.00
104.20.164.149,4,4,0.00,218.65,0.00
104.24.157.93,4,4,0.00,218.69,0.00
104.25.245.140,4,4,0.00,218.80,0.00
104.25.117.43,4,4,0.00,218.93,0.00
104.20.7.149,4,4,0.00,219.24,0.00
104.20.100.223,4,4,0.00,219.34,0.00
104.27.201.212,4,4,0.00,219.40,0.00
104.24.174.34,4,4,0.00,219.57,0.00
104.27.39.218,4,4,0.00,219.58,0.00
104.23.143.69,4,4,0.00,219.62,0.00
104.24.226.115,4,4,0.00,219.65,0.00
104.24.227.147,4,4,0.00,219.65,0.00
104.27.10.156,4,4,0.00,219.67,0.00
104.27.72.75,4,4,0.00,219.70,0.00
104.24.73.123,4,4,0.00,219.74,0.00
104.25.42.220,4,4,0.00,219.79,0.00
104.27.5.194,4,4,0.00,219.81,0.00
104.27.60.225,4,4,0.00,219.97,0.00
104.27.40.29,4,4,0.00,220.30,0.00
104.24.254.193,4,4,0.00,220.41,0.00
104.27.32.23,4,4,0.00,220.41,0.00
104.25.147.46,4,4,0.00,220.42,0.00
104.24.140.122,4,4,0.00,220.45,0.00
104.24.64.19,4,4,0.00,220.46,0.00
104.25.114.42,4,4,0.00,220.72,0.00
104.22.39.131,4,4,0.00,220.73,0.00
104.22.1.112,4,4,0.00,220.74,0.00
104.20.148.221,4,4,0.00,220.79,0.00
104.24.201.154,4,4,0.00,220.92,0.00
104.25.188.17,4,4,0.00,220.95,0.00
104.24.59.109,4,4,0.00,220.98,0.00
104.25.85.13,4,4,0.00,221.07,0.00
104.27.17.20,4,4,0.00,221.08,0.00
104.22.34.12,4,4,0.00,221.11,0.00
104.27.49.40,4,4,0.00,221.24,0.00
104.20.104.185,4,4,0.00,221.39,0.00
104.24.224.140,4,4,0.00,221.40,0.00
104.23.102.205,4,4,0.00,221.40,0.00
104.27.45.59,4,4,0.00,221.42,0.00
104.21.114.25,4,4,0.00,221.46,0.00
104.25.2.34,4,4,0.00,221.66,0.00
104.25.134.41,4,4,0.00,221.73,0.00
104.25.64.80,4,4,0.00,221.74,0.00
104.20.54.84,4,4,0.00,221.86,0.00
104.22.75.252,4,4,0.00,222.04,0.00
104.24.32.228,4,4,0.00,222.07,0.00
104.25.104.241,4,4,0.00,222.19,0.00
104.27.30.69,4,4,0.00,222.22,0.00
104.20.53.214,4,4,0.00,222.24,0.00
104.25.202.105,4,4,0.00,222.24,0.00
104.27.47.210,4,4,0.00,222.33,0.00
104.27.22.230,4,4,0.00,222.34,0.00
104.27.75.152,4,4,0.00,222.48,0.00
104.27.117.76,4,4,0.00,222.48,0.00
104.27.53.191,4,4,0.00,222.52,0.00
104.24.249.59,4,4,0.00,222.60,0.00
104.27.104.247,4,4,0.00,222.65,0.00
104.20.124.155,4,4,0.00,222.76,0.00
104.24.84.61,4,4,0.00,222.80,0.00
104.25.78.25,4,4,0.00,222.82,0.00
104.20.182.135,4,4,0.00,222.84,0.00
104.25.24.48,4,4,0.00,222.92,0.00
104.20.109.206,4,4,0.00,222.96,0.00
104.27.9.126,4,4,0.00,223.02,0.00
104.21.110.170,4,4,0.00,223.04,0.00
104.23.100.83,4,4,0.00,223.07,0.00
104.23.115.253,4,4,0.00,223.08,0.00
104.27.19.50,4,4,0.00,223.13,0.00
104.27.62.52,4,4,0.00,223.16,0.00
104.27.112.203,4,4,0.00,223.36,0.00
104.27.92.170,4,4,0.00,223.37,0.00
104.20.169.103,4,4,0.00,223.43,0.00
104.20.173.84,4,4,0.00,223.51,0.00
104.20.98.129,4,4,0.00,223.62,0.00
104.25.189.150,4,4,0.00,223.70,0.00
104.20.156.191,4,4,0.00,223.79,0.00
104.27.110.113,4,4,0.00,223.83,0.00
104.27.116.194,4,4,0.00,223.95,0.00
104.22.78.174,4,4,0.00,223.96,0.00
104.21.201.134,4,4,0.00,223.97,0.00
104.23.114.79,4,4,0.00,223.97,0.00
104.20.17.236,4,4,0.00,224.08,0.00
104.20.166.224,4,4,0.00,224.09,0.00
104.25.253.85,4,4,0.00,224.15,0.00
104.24.76.230,4,4,0.00,224.18,0.00
104.27.48.52,4,4,0.00,224.20,0.00
104.25.206.51,4,4,0.00,224.31,0.00
104.27.95.122,4,4,0.00,224.34,0.00
104.24.55.22,4,4,0.00,224.40,0.00
104.24.35.177,4,4,0.00,224.69,0.00
104.27.111.180,4,4,0.00,224.75,0.00
104.25.99.83,4,4,0.00,224.76,0.00
104.24.144.192,4,4,0.00,224.79,0.00
104.23.98.240,4,4,0.00,224.80,0.00
104.25.194.8,4,4,0.00,224.82,0.00
104.24.16.146,4,4,0.00,224.82,0.00
104.25.60.34,4,4,0.00,224.87,0.00
104.24.159.232,4,4,0.00,224.95,0.00
104.24.187.55,4,4,0.00,224.98,0.00
104.27.84.216,4,4,0.00,225.00,0.00
104.20.134.9,4,4,0.00,225.08,0.00
104.25.203.82,4,4,0.00,225.11,0.00
104.20.49.26,4,4,0.00,225.12,0.00
104.20.227.232,4,4,0.00,225.15,0.00
104.24.20.132,4,4,0.00,225.21,0.00
104.25.130.17,4,4,0.00,225.21,0.00
104.24.238.227,4,4,0.00,225.23,0.00
104.20.96.174,4,4,0.00,225.32,0.00
104.20.177.1,4,4,0.00,225.38,0.00
104.20.65.129,4,4,0.00,225.40,0.00
104.23.137.130,4,4,0.00,225.42,0.00
104.24.15.254,4,4,0.00,225.45,0.00
104.23.112.50,4,4,0.00,225.50,0.00
104.20.58.122,4,4,0.00,225.55,0.00
104.25.199.171,4,4,0.00,225.56,0.00
104.27.203.54,4,4,0.00,225.59,0.00
104.27.74.94,4,4,0.00,225.60,0.00
104.22.74.17,4,4,0.00,225.61,0.00
104.25.52.165,4,4,0.00,225.64,0.00
104.25.105.112,4,4,0.00,225.72,0.00
104.27.25.102,4,4,0.00,225.91,0.00
104.25.183.46,4,4,0.00,225.97,0.00
104.23.110.172,4,4,0.00,225.97,0.00
104.20.130.161,4,4,0.00,226.05,0.00
104.20.56.246,4,4,0.00,226.07,0.00
104.25.77.79,4,4,0.00,226.08,0.00
104.25.190.207,4,4,0.00,226.11,0.00
104.24.139.134,4,4,0.00,226.11,0.00
104.20.194.248,4,4,0.00,226.13,0.00
104.20.133.35,4,4,0.00,226.19,0.00
104.25.230.1,4,4,0.00,226.28,0.00
104.27.59.6,4,4,0.00,226.30,0.00
104.24.128.1,4,4,0.00,226.56,0.00
104.25.53.125,4,4,0.00,226.57,0.00
104.24.14.205,4,4,0.00,226.57,0.00
104.22.76.53,4,4,0.00,226.60,0.00
104.27.29.141,4,4,0.00,226.95,0.00
104.22.12.156,4,4,0.00,226.98,0.00
104.24.40.238,4,4,0.00,227.02,0.00
104.27.2.201,4,4,0.00,227.03,0.00
104.25.45.101,4,4,0.00,227.03,0.00
104.27.85.144,4,4,0.00,227.04,0.00
104.24.191.99,4,4,0.00,227.13,0.00
104.23.107.220,4,4,0.00,227.15,0.00
104.25.112.72,4,4,0.00,227.37,0.00
104.20.99.185,4,4,0.00,227.45,0.00
104.27.99.253,4,4,0.00,227.52,0.00
104.27.76.212,4,4,0.00,227.55,0.00
104.20.150.249,4,4,0.00,227.65,0.00
104.25.113.157,4,4,0.00,227.66,0.00
104.25.226.81,4,4,0.00,227.68,0.00
104.25.207.187,4,4,0.00,227.83,0.00
104.25.219.186,4,4,0.00,227.88,0.00
104.25.44.60,4,4,0.00,227.93,0.00
104.24.93.222,4,4,0.00,227.96,0.00
104.25.65.75,4,4,0.00,227.98,0.00
104.24.5.147,4,4,0.00,227.99,0.00
104.24.54.38,4,4,0.00,228.02,0.00
104.24.222.226,4,4,0.00,228.04,0.00
104.24.23.77,4,4,0.00,228.12,0.00
104.25.63.183,4,4,0.00,228.12,0.00
104.24.81.209,4,4,0.00,228.16,0.00
104.22.45.182,4,4,0.00,228.20,0.00
104.25.197.95,4,4,0.00,228.21,0.00
104.20.191.63,4,4,0.00,228.28,0.00
104.24.47.155,4,4,0.00,228.29,0.00
104.24.179.142,4,4,0.00,228.35,0.00
104.22.40.194,4,4,0.00,228.51,0.00
104.25.187.156,4,4,0.00,228.61,0.00
104.25.122.217,4,4,0.00,228.62,0.00
104.26.5.0,4,4,0.00,228.63,0.00
104.23.97.132,4,4,0.00,228.69,0.00
104.27.54.136,4,4,0.00,228.72,0.00
104.20.168.151,4,4,0.00,228.78,0.00
104.23.116.126,4,4,0.00,228.80,0.00
104.24.158.122,4,4,0.00,228.80,0.00
104.25.234.242,4,4,0.00,228.84,0.00
104.20.175.82,4,4,0.00,228.86,0.00
104.20.189.20,4,4,0.00,228.87,0.00
104.20.61.149,4,4,0.00,228.90,0.00
104.25.50.92,4,4,0.00,228.92,0.00
104.20.174.111,4,4,0.00,228.92,0.00
104.24.30.216,4,4,0.00,228.95,0.00
104.20.178.91,4,4,0.00,229.00,0.00
104.24.143.157,4,4,0.00,229.05,0.00
104.25.129.196,4,4,0.00,229.09,0.00
104.22.10.239,4,4,0.00,229.19,0.00
104.23.99.236,4,4,0.00,229.20,0.00
104.25.76.2,4,4,0.00,229.21,0.00
104.24.244.156,4,4,0.00,229.21,0.00
104.20.170.21,4,4,0.00,229.24,0.00
104.25.82.44,4,4,0.00,229.30,0.00
104.27.8.42,4,4,0.00,229.42,0.00
104.27.20.13,4,4,0.00,229.42,0.00
104.24.250.199,4,4,0.00,229.43,0.00
104.27.6.131,4,4,0.00,229.44,0.00
104.20.106.214,4,4,0.00,229.55,0.00
104.20.15.105,4,4,0.00,229.64,0.00
104.27.27.84,4,4,0.00,229.75,0.00
104.22.32.148,4,4,0.00,229.76,0.00
104.27.3.6,4,4,0.00,229.77,0.00
104.25.246.190,4,4,0.00,230.02,0.00
104.25.244.38,4,4,0.00,230.02,0.00
104.27.46.95,4,4,0.00,230.08,0.00
104.25.192.107,4,4,0.00,230.37,0.00
104.22.46.220,4,4,0.00,230.38,0.00
104.25.162.217,4,4,0.00,230.39,0.00
104.23.111.147,4,4,0.00,230.48,0.00
104.25.120.33,4,4,0.00,230.74,0.00
104.24.186.41,4,4,0.00,230.80,0.00
104.22.2.35,4,4,0.00,230.83,0.00
104.20.50.197,4,4,0.00,230.89,0.00
104.27.15.249,4,4,0.00,230.92,0.00
104.24.11.60,4,4,0.00,230.93,0.00
104.23.113.192,4,4,0.00,231.04,0.00
104.20.91.111,4,4,0.00,231.06,0.00
104.27.34.183,4,4,0.00,231.09,0.00
104.20.40.221,4,4,0.00,231.13,0.00
104.20.167.59,4,4,0.00,231.20,0.00
104.20.231.42,4,4,0.00,231.27,0.00
104.25.10.196,4,4,0.00,231.33,0.00
104.27.77.159,4,4,0.00,231.34,0.00
104.24.49.26,4,4,0.00,231.42,0.00
104.24.79.56,4,4,0.00,231.42,0.00
104.23.105.39,4,4,0.00,231.55,0.00
104.24.0.63,4,4,0.00,231.56,0.00
104.20.123.131,4,4,0.00,231.63,0.00
104.22.3.86,4,4,0.00,231.72,0.00
104.24.160.222,4,4,0.00,231.76,0.00
104.25.196.148,4,4,0.00,231.76,0.00
104.25.222.152,4,4,0.00,231.80,0.00
104.27.0.236,4,4,0.00,231.82,0.00
104.20.93.224,4,4,0.00,231.93,0.00
104.22.0.232,4,4,0.00,231.94,0.00
104.24.234.178,4,4,0.00,231.99,0.00
104.24.89.26,4,4,0.00,232.00,0.00
104.24.216.248,4,4,0.00,232.05,0.00
104.20.204.78,4,4,0.00,232.18,0.00
104.25.185.50,4,4,0.00,232.30,0.00
104.20.110.192,4,4,0.00,232.31,0.00
104.25.79.164,4,4,0.00,232.42,0.00
104.24.8.94,4,4,0.00,232.79,0.00
104.24.90.187,4,4,0.00,232.87,0.00
104.25.240.217,4,4,0.00,232.89,0.00
104.25.29.98,4,4,0.00,233.10,0.00
104.23.129.143,4,4,0.00,233.24,0.00
104.23.130.71,4,4,0.00,233.24,0.00
104.24.155.64,4,4,0.00,233.61,0.00
104.20.183.130,4,4,0.00,233.68,0.00
104.24.7.6,4,4,0.00,233.69,0.00
104.20.71.214,4,4,0.00,233.85,0.00
104.24.148.207,4,4,0.00,233.94,0.00
104.26.14.10,4,4,0.00,233.96,0.00
104.20.176.116,4,4,0.00,234.18,0.00
104.27.78.50,4,4,0.00,234.42,0.00
